Time,gen
6/14/2018 0:00,139.3828767
6/15/2018 0:00,172.8862807
6/16/2018 0:00,118.5390697
6/17/2018 0:00,100.7280147
6/18/2018 0:00,153.6084637
6/19/2018 0:00,140.2992027
6/20/2018 0:00,119.8319047
6/21/2018 0:00,189.4598867
6/22/2018 0:00,195.8884207
6/23/2018 0:00,196.5666397
6/24/2018 0:00,191.2205227
6/25/2018 0:00,190.4520617
6/26/2018 0:00,191.4386177
6/27/2018 0:00,194.9721867
6/28/2018 0:00,172.0495337
6/29/2018 0:00,192.4705847
6/30/2018 0:00,159.1702667
7/1/2018 0:00,155.7782057
7/2/2018 0:00,185.3633137
7/3/2018 0:00,178.5833507
7/4/2018 0:00,129.5125287
7/5/2018 0:00,155.1117087
7/6/2018 0:00,183.5338927
7/7/2018 0:00,184.5071437
7/8/2018 0:00,185.0167267
7/9/2018 0:00,177.8402567
7/10/2018 0:00,185.0375197
7/11/2018 0:00,186.2058527
7/12/2018 0:00,128.5254107
7/13/2018 0:00,137.5799387
7/14/2018 0:00,63.44791667
7/15/2018 0:00,63.44791667
7/16/2018 0:00,63.44791667
7/17/2018 0:00,164.5563057
7/18/2018 0:00,151.6666817
7/19/2018 0:00,164.4516097
7/20/2018 0:00,173.7548267
7/21/2018 0:00,165.6702957
7/22/2018 0:00,161.4266847
7/23/2018 0:00,135.8555617
7/24/2018 0:00,152.0000177
7/25/2018 0:00,175.9801087
7/26/2018 0:00,149.2519527
7/27/2018 0:00,179.5317777
7/28/2018 0:00,148.6406927
7/29/2018 0:00,98.88993667
7/30/2018 0:00,118.5004457
7/31/2018 0:00,168.7750417
8/1/2018 0:00,134.8983737
8/2/2018 0:00,124.9546727
8/3/2018 0:00,143.0480157
8/4/2018 0:00,161.5279317
8/5/2018 0:00,159.2586007
8/6/2018 0:00,151.0906137
8/7/2018 0:00,147.0399147
8/8/2018 0:00,117.2608697
8/9/2018 0:00,135.9140557
8/10/2018 0:00,124.3277857
8/11/2018 0:00,108.2220767
8/12/2018 0:00,98.37441567
8/13/2018 0:00,145.8421397
8/14/2018 0:00,120.2523697
8/15/2018 0:00,107.6024987
8/16/2018 0:00,124.2665147
8/17/2018 0:00,150.9412027
8/18/2018 0:00,102.6151597
8/19/2018 0:00,115.2698827
8/20/2018 0:00,113.7626297
8/21/2018 0:00,98.23206567
8/22/2018 0:00,112.5214527
8/23/2018 0:00,146.0726297
8/24/2018 0:00,146.8718237
8/25/2018 0:00,156.4323497
8/26/2018 0:00,80.72560367
8/27/2018 0:00,110.5994667
8/28/2018 0:00,102.4956307
