Unix timestamp,STD Date Time,Quantity
"1,672,655,400",1/2/2023 10:30,0.14
"1,672,656,300",1/2/2023 10:45,0.14
"1,672,657,200",1/2/2023 11:00,0.14
"1,672,658,100",1/2/2023 11:15,0.14
"1,672,659,000",1/2/2023 11:30,0.14
"1,672,659,900",1/2/2023 11:45,0.14
"1,672,660,800",1/2/2023 12:00,0.14
"1,672,661,700",1/2/2023 12:15,0.14
"1,672,662,600",1/2/2023 12:30,0.14
"1,672,663,500",1/2/2023 12:45,0.14
"1,672,664,400",1/2/2023 13:00,0.14
"1,672,665,300",1/2/2023 13:15,0.14
"1,672,666,200",1/2/2023 13:30,0.14
"1,672,667,100",1/2/2023 13:45,0.14
"1,672,668,000",1/2/2023 14:00,0.14
"1,672,668,900",1/2/2023 14:15,0.14
"1,672,669,800",1/2/2023 14:30,0.14
"1,672,670,700",1/2/2023 14:45,0.14
"1,672,671,600",1/2/2023 15:00,0.14
"1,672,672,500",1/2/2023 15:15,0.14
"1,672,673,400",1/2/2023 15:30,0.14
"1,672,674,300",1/2/2023 15:45,0.14
"1,672,675,200",1/2/2023 16:00,0.14
"1,672,676,100",1/2/2023 16:15,0.14
"1,672,677,000",1/2/2023 16:30,0.14
"1,672,677,900",1/2/2023 16:45,0.14
"1,672,678,800",1/2/2023 17:00,0.14
"1,672,679,700",1/2/2023 17:15,0.14
"1,672,680,600",1/2/2023 17:30,0.14
"1,672,681,500",1/2/2023 17:45,0.14
"1,672,682,400",1/2/2023 18:00,0
"1,672,683,300",1/2/2023 18:15,0
"1,672,684,200",1/2/2023 18:30,0
"1,672,685,100",1/2/2023 18:45,0
"1,672,686,000",1/2/2023 19:00,0
"1,672,686,900",1/2/2023 19:15,0
"1,672,687,800",1/2/2023 19:30,0
"1,672,688,700",1/2/2023 19:45,0
"1,672,689,600",1/2/2023 20:00,0
"1,672,690,500",1/2/2023 20:15,0
"1,672,691,400",1/2/2023 20:30,0
"1,672,692,300",1/2/2023 20:45,0
"1,672,693,200",1/2/2023 21:00,0
"1,672,694,100",1/2/2023 21:15,0
"1,672,695,000",1/2/2023 21:30,0
"1,672,695,900",1/2/2023 21:45,0
"1,672,696,800",1/2/2023 22:00,0
"1,672,697,700",1/2/2023 22:15,0
"1,672,698,600",1/2/2023 22:30,0
"1,672,699,500",1/2/2023 22:45,0
"1,672,700,400",1/2/2023 23:00,0
"1,672,701,300",1/2/2023 23:15,0
"1,672,702,200",1/2/2023 23:30,0
"1,672,703,100",1/2/2023 23:45,0
"1,672,704,000",1/3/2023 0:00,0
"1,672,704,900",1/3/2023 0:15,0
"1,672,705,800",1/3/2023 0:30,0
"1,672,706,700",1/3/2023 0:45,0
"1,672,707,600",1/3/2023 1:00,0
"1,672,708,500",1/3/2023 1:15,0
"1,672,709,400",1/3/2023 1:30,0
"1,672,710,300",1/3/2023 1:45,0
"1,672,711,200",1/3/2023 2:00,0
"1,672,712,100",1/3/2023 2:15,0
"1,672,713,000",1/3/2023 2:30,0
"1,672,713,900",1/3/2023 2:45,0
"1,672,714,800",1/3/2023 3:00,0
"1,672,715,700",1/3/2023 3:15,0
"1,672,716,600",1/3/2023 3:30,0
"1,672,717,500",1/3/2023 3:45,0
"1,672,718,400",1/3/2023 4:00,0
"1,672,719,300",1/3/2023 4:15,0
"1,672,720,200",1/3/2023 4:30,0
"1,672,721,100",1/3/2023 4:45,0
"1,672,722,000",1/3/2023 5:00,0
"1,672,722,900",1/3/2023 5:15,0
"1,672,723,800",1/3/2023 5:30,0
"1,672,724,700",1/3/2023 5:45,0
"1,672,725,600",1/3/2023 6:00,0.14
"1,672,726,500",1/3/2023 6:15,0.14
"1,672,727,400",1/3/2023 6:30,0.14
"1,672,728,300",1/3/2023 6:45,0.14
"1,672,729,200",1/3/2023 7:00,0.14
"1,672,730,100",1/3/2023 7:15,0.14
"1,672,731,000",1/3/2023 7:30,0.14
"1,672,731,900",1/3/2023 7:45,0.14
"1,672,732,800",1/3/2023 8:00,0.14
"1,672,733,700",1/3/2023 8:15,0.14
"1,672,734,600",1/3/2023 8:30,0.14
"1,672,735,500",1/3/2023 8:45,0.14
"1,672,736,400",1/3/2023 9:00,0.14
"1,672,737,300",1/3/2023 9:15,0.14
"1,672,738,200",1/3/2023 9:30,0.14
"1,672,739,100",1/3/2023 9:45,0.14
"1,672,740,000",1/3/2023 10:00,0.14
"1,672,740,900",1/3/2023 10:15,0.14
"1,672,741,800",1/3/2023 10:30,0.14
